职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,招聘网站,详情页
大数据可视化（web前端工程师）,万贝科技,8-9K,发布于6月18日,1-3年/本科,北京·丰台区,服务器配置/CSS/前端开发/Mongo/web前端工程师,BOOS,https://www.zhipin.com//job_detail/d21daa41e68d006533d_2dq4FlY~.html
内容研发【python/web】,猿辅导,12-20K·14薪,发布于6月24日,1-3年/本科,北京,教研/爬虫/数据分析/数据科学/少儿编程,BOOS,https://www.zhipin.com//job_detail/d50fb306bbfd4b6533Z-29u6FVo~.html
Python web 开发工程师,轩辕传媒,15-20K,发布于6月24日,1-3年/大专,北京,网络爬虫技术/分布式技术/Odoo/python开发/精通python,BOOS,https://www.zhipin.com//job_detail/f452c537d90bd68e33B43961EVE~.html
