,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
28,爬虫工程师（人工智能）,捷通华声,15-25K,发布于06月10日,1-3年/本科,北京,反爬/爬虫/Python/爬虫项目/linux开发环境,https://www.zhipin.com//job_detail/e7b0eeb763a6b8dd33Z73dy9FlE~.html
29,投资经理,新经济100人,15-25K,发布于06月10日,1-3年/本科,北京,股权投资/行业研究/一级市场/投资工作/投行,https://www.zhipin.com//job_detail/a78b5ee1d71cbdb60HRz3t-6EFQ~.html
30,爬虫工程师,猿辅导,25-35K·14薪,发布于06月11日,1-3年/本科,北京,爬虫/爬虫框架/分布式爬虫/反爬虫/Xpath,https://www.zhipin.com//job_detail/1873f61a32a937220nR93N6-EVI~.html
31,python爬虫工程师,捷通华声,15-20K,发布于06月11日,1-3年/本科,北京,反爬/爬虫/数据清洗/Python/数据处理,https://www.zhipin.com//job_detail/8ec8a715387efaac33Z52t2_F1A~.html
32,爬虫工程师（小猿搜题）,猿辅导,25-35K·14薪,发布于06月11日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/爬虫/爬虫框架/分布式爬虫,https://www.zhipin.com//job_detail/43cd881f1dc11d8833V83d2_EVE~.html
33,Java开发工程师（爬虫项目）,搜狐,15-25K·15薪,发布于06月12日,1-3年/本科,北京,SQL/网络爬虫技术/熟悉分布式/分布式系统设计/消息队列,https://www.zhipin.com//job_detail/64121a0e45f4671633Z829m9FlE~.html
34,数据分析专员,若羽臣,6-8K,发布于06月12日,1-3年/本科,北京·大兴区,电子商务/电商运营/数据分析/数据处理工具/数据分析专员,https://www.zhipin.com//job_detail/a7b0da81626a35c20H1439m_GFU~.html
35,Java研发工程师（爬虫）,航班管家,11-18K,发布于06月12日,1-3年/本科,北京,分布式技术/网络爬虫技术/分布式架构/Kafka/多线程开发,https://www.zhipin.com//job_detail/ee3694132370b4880HJ40t-0ElU~.html
36,Java,思创祥云,9-14K,发布于06月12日,1-3年/本科,北京,Netty/网络协议/后端开发/学信网/爬虫技术,https://www.zhipin.com//job_detail/72133fe9333deafd0HV83di5EVI~.html
37,AI课程讲师/教研工程师,伟东云教育,15-30K,发布于06月12日,1-3年/本科,北京,语音算法/推荐算法/深度学习算法/自然语言处理/人脸识别,https://www.zhipin.com//job_detail/ed4ba41ab9a0ea590nNy39i-FFE~.html
38,Python开发工程师,爱嘉鑫实业有限公司,9-10K,发布于06月12日,1-3年/大专,北京,区块链/交易所/钱包/Tornado/爬虫开发,https://www.zhipin.com//job_detail/f5bd87f630c7ac8e33Z_2ti8FVE~.html
39,自动化测试,爱普优邦,7-10K·13薪,发布于06月15日,1-3年/大专,北京·东城区,UI自动化测试/服务端测试/接口测试/自动化测试/性能测试,https://www.zhipin.com//job_detail/21ba94c6af81b2ee33V52du5EFQ~.html
40,Java后端开发初级工程师,磅帝（北京）信息...,12-20K,发布于06月15日,1-3年/本科,北京,微服务架构/数据库开发/RocketMQ/微服务框架/RabbitMQ,https://www.zhipin.com//job_detail/8d383a910306a59e0H143NS-FVA~.html
41,Python后端开发,盒你一起,12-16K,发布于06月15日,1-3年/本科,北京,Celery/Flask/Scrapy/熟悉redis/MongoDB,https://www.zhipin.com//job_detail/19094a2c7413429a33V80960GVc~.html
42,Android工程师,百度,20-40K·15薪,发布于06月15日,1-3年/本科,北京,NDK/Flutter/APP/网络框架/android项目,https://www.zhipin.com//job_detail/53d39b0433a5125b0Hx639u8FVI~.html
43,高级安全运营工程师,滴滴出行,30-60K,发布于06月15日,1-3年/本科,北京·海淀区,Web安全/数据分析/安全/web安全漏洞/OWASP,https://www.zhipin.com//job_detail/8da4c62506a6c06b03B92N64GFE~.html
44,爬虫工程师,航班管家,13-20K,发布于06月15日,1-3年/本科,北京,分布式技术/网络协议/网络爬虫技术/分布式架构/Kafka,https://www.zhipin.com//job_detail/511007c3782a47e233Zz3960FlU~.html
45,爬虫工程师,微博,12-24K·14薪,发布于06月16日,1-3年/本科,北京,爬虫工程师/分布式技术/数据存储/Java/爬虫框架,https://www.zhipin.com//job_detail/b854f5545d0045a333d63dS5GVE~.html
46,爬虫工程师,硬核聚视,15-30K,发布于06月16日,1-3年/本科,北京,PhantomJS/Xpath/Scrapy/正则表达式/网页抓取,https://www.zhipin.com//job_detail/21882472d3f419181XF93dq7F1A~.html
47,爬虫工程师,硬核聚视,15-30K,发布于06月16日,1-3年/本科,北京,PhantomJS/Xpath/Scrapy/正则表达式/网页抓取,https://www.zhipin.com//job_detail/21882472d3f419181XF93dq7F1A~.html
48,爬虫工程师,七麦科技,18-30K,发布于06月16日,1-3年/大专,北京,网络爬虫技术/Xposed/分布式技术/CSS/移动端,https://www.zhipin.com//job_detail/5738584c145753320XR93di8EFI~.html
49,python开发工程师（远程办公）,爱嘉鑫实业有限公司,9-13K,发布于06月17日,1-3年/大专,北京·海淀区,区块链/Tornado/爬虫开发/Flask/python开发工程师,https://www.zhipin.com//job_detail/0d5ac63344e1d15033Zz3Ny6ElY~.html
