,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
33,客户端,炎黄新星网络,8-12K,发布于06月29日,1年以内/本科,北京,Android/Swift/Xcode/Objective-c/ios相关,https://www.zhipin.com//job_detail/e7bb7737d28f072a33d609i9F1A~.html
34,软件开发工程师,中隐科技,8-9K,发布于06月29日,1年以内/大专,北京,Linux/RESTful/如mysql/核心代码/J2EE,https://www.zhipin.com//job_detail/df08aa46d874ada733F639W4EFY~.html
35,PHP,海天瑞声,12-20K·16薪,发布于06月29日,1年以内/硕士,北京,软件工程师/后端开发/php框架/LNMP/LAMP,https://www.zhipin.com//job_detail/9f4b18d3435fd1d533Bz2tW4FlI~.html
36,web前端开发,华风新天,4-6K,发布于06月30日,1年以内/本科,北京,GIT/JavaScript/页面开发/响应式/DOM,https://www.zhipin.com//job_detail/07d0e35cc69f7c3e33Bz3Ny8FVU~.html
37,web前端开发工程师,璇乾科技,11-20K,发布于06月30日,1年以内/本科,北京·海淀区,JavaScript/Webpack/HTML/CSS/Element-ui,https://www.zhipin.com//job_detail/99a361a9eb5768d433B_2tu4EFQ~.html
38,前端开发工程师,领众恒信科技,8-12K,发布于06月30日,1年以内/本科,北京·朝阳区,web语义化/数据分离/JavaScript/W3C标准/ECharts,https://www.zhipin.com//job_detail/ab8c9f32795ef8fc1HJ62Ny5FFI~.html
39,NAVER 音乐 Web 前端开发工程师,NAVER China,12-18K,发布于06月30日,1年以内/本科,北京,移动端/PC端/前端开发/TypeScript/ES6,https://www.zhipin.com//job_detail/c7a055856efd7be10Hd639i_F1U~.html
40,前端实习生,第四范式,10-11K,发布于10:57,1年以内/本科,北京,JavaScript/Webpack/React/HTML/GIT,https://www.zhipin.com//job_detail/2332967dbf7e26ea33F63t2-FFE~.html
41,web前端,冠川智能,3-4K,发布于11:02,1年以内/大专,北京·顺义区,JavaScript/Flutter/HTML/CSS/Java,https://www.zhipin.com//job_detail/7371abc92133894a0HZ-0tW5E1c~.html
42,web前端,货拉拉科技,2-3K,发布于12:50,1年以内/大专,北京,网络安全/物联网/大数据/后端开发/车联网,https://www.zhipin.com//job_detail/af6464a57224917133dy2tm_GFs~.html
43,web前端开发,迈捷映博,3-5K,发布于12:51,1年以内/不限,北京,小程序/C++/游戏/计算机软件/流媒体技术,https://www.zhipin.com//job_detail/f5b3873567b71d3633dz29W6EFU~.html
44,少儿编程老师-java.python.web,达内集团,9-13K,发布于15:42,1年以内/本科,北京,Python/编程老师/期权/Python编程/C++,https://www.zhipin.com//job_detail/8575bb2523fc78a90H1629q1Elc~.html
45,渗透测试工程师,重熙未来科技,8-12K,发布于16:00,1年以内/本科,北京·朝阳区,Web安全/信息安全/web漏洞/web安全漏洞/OWASP,https://www.zhipin.com//job_detail/3e9320c10eaf23a21nN_29-6FVA~.html
46,UI设计师,快手,13-22K,发布于18:14,1年以内/本科,北京·海淀区,Android/美术设计师/设计师/美工/设计趋势,https://www.zhipin.com//job_detail/901546e4f969155933F82d-0FFU~.html
47,后端研发实习生 — 可转正,今日头条,9-14K,发布于昨天,1年以内/本科,北京,Go/Java/C++/数据库/Python,https://www.zhipin.com//job_detail/edec92cc544491a20HJ63du6FlU~.html
48,无责6000无通时考核电话销售,竹子科技,15-24K,发布于昨天,1年以内/大专,北京,电话销售/老客户维护/语培/成人英语/华尔街英语,https://www.zhipin.com//job_detail/93ffd00c8f5a296b33F43Nu4FFo~.html
